2700,29.8830556,-97.9411111,25796,5873,0
20,28.9783333,-96.6458333,23239,5974,1
900,21.4180556,-157.8036111,21778,5969,2
300,36.595,-82.1888889,21413,4778,3
1200,41.1175,-73.4083333,19952,7542,4
180,33.5861111,-86.2861111,19587,4086,4
120,30.2947222,-82.9841667,19587,5494,4
300,33.9163889,-118.3516667,18856,6052,1
180,35.2333333,-82.7344444,18856,4366,5
1800,40.6686111,-73.5275,18126,7320,4
180,37.1536111,-83.7619444,18126,4485,6
30,35.8238889,-80.2536111,17761,3754,7
1200,36.8430556,-83.3219444,17395,5367,1
120,42.5377778,-83.2330556,17395,4669,4
1800,41.3252778,-72.1936111,17030,6089,4
2700,42.3916667,-71.5666667,16665,7595,8
1200,38.1055556,-98.6597222,16665,5784,2
360,32.8544444,-79.975,16300,4485,2
60,45.5827778,-122.3522222,15934,2300,7
30,29.4238889,-98.4933333,15569,5570,8
30,38.2541667,-85.7594444,15569,5914,2
300,40.7008333,-73.7133333,15204,4863,9
900,41.7002778,-73.9213889,14839,5519,10
180,32.7152778,-117.1563889,14839,6869,7
1800,38.7583333,-104.7425,14839,7789,6
180,29.7630556,-95.3630556,14473,5519,3
300,32.7833333,-96.8,14473,6420,6
300,42.9955556,-71.4552778,14473,3474,2
60,29.7630556,-95.3630556,13012,2960,1
120,44.7630556,-85.6205556,13012,6076,8
20,41.0338889,-73.7633333,13012,7595,11
600,43.0388889,-87.9063889,11551,4676,12
120,43.9627778,-70.2830556,11551,4154,6
60,40.015,-105.27,11551,5063,2
2,47.6063889,-122.3308333,11551,5873,6
300,34.1577778,-118.6375,11186,5642,4
60,46.7163889,-122.9530556,11186,5873,12
120,31.7058333,-83.6533333,10821,4614,12
1800,35.235,-75.6288889,10456,7789,6
600,40.2736111,-76.8847222,10456,6227,12
3600,30.1586111,-85.6602778,10090,7789,11
10,29.6158333,-95.5575,10090,2960,6
60,35.8905556,-83.7247222,10090,4225,13
30,32.7591667,-97.7969444,10090,5380,6
8,40.6936111,-89.5888889,9725,5341,2
60,36.2522222,-85.9516667,9725,6276,8
